zebrafish_atp6,wobblegong_atp6,367
zebrafish_atp8,wobblegong_nd5,21
zebrafish_co1,wobblegong_cox1,1401
zebrafish_co2,wobblegong_cox2,574
zebrafish_co3,wobblegong_cox3,603
zebrafish_cyb,wobblegong_cytb,621
zebrafish_nd1,wobblegong_nd1,484
zebrafish_nd2,wobblegong_nd2,282
zebrafish_nd3,wobblegong_nd3,154
zebrafish_nd4,wobblegong_nd4,696
zebrafish_nd4l,wobblegong_nd4l,134
zebrafish_nd5,wobblegong_nd5,798
zebrafish_nd6,wobblegong_nd6,213
zebrafish_rnr1,wobblegong_nd5,44
zebrafish_rnr2,wobblegong_cox1,23
zebrafish_ta,wobblegong_cox1,21
zebrafish_tc,,
zebrafish_td,,
zebrafish_te,wobblegong_cox2,21
zebrafish_tg,,
zebrafish_th,wobblegong_cytb,23
zebrafish_ti,,
zebrafish_tk,wobblegong_cox1,27
zebrafish_tl1,,
zebrafish_tl2,wobblegong_nd2,21
zebrafish_tm,wobblegong_cox2,21
zebrafish_tn,,
zebrafish_tp,wobblegong_nd4,21
zebrafish_tq,,
zebrafish_tr,wobblegong_cytb,42
zebrafish_ts1,,
zebrafish_ts2,,
zebrafish_tt,,
zebrafish_tv,wobblegong_nd4,21
zebrafish_tw,,
zebrafish_ty,,
