zebrafish_atp6,saltwatercrocodile_atp6,152
zebrafish_atp8,saltwatercrocodile_nd5,21
zebrafish_co1,saltwatercrocodile_cox1,1178
zebrafish_co2,saltwatercrocodile_atp6,23
zebrafish_co3,saltwatercrocodile_cox3,522
zebrafish_cyb,saltwatercrocodile_cytb,368
zebrafish_nd1,saltwatercrocodile_nd1,353
zebrafish_nd2,saltwatercrocodile_nd2,117
zebrafish_nd3,saltwatercrocodile_nd3,143
zebrafish_nd4,saltwatercrocodile_nd4,253
zebrafish_nd4l,saltwatercrocodile_nd4l,54
zebrafish_nd5,saltwatercrocodile_nd5,258
zebrafish_nd6,saltwatercrocodile_nd4,21
zebrafish_rnr1,saltwatercrocodile_nd2,21
zebrafish_rnr2,saltwatercrocodile_cox1,23
zebrafish_ta,,
zebrafish_tc,,
zebrafish_td,,
zebrafish_te,,
zebrafish_tg,,
zebrafish_th,,
zebrafish_ti,saltwatercrocodile_nd1,21
zebrafish_tk,,
zebrafish_tl1,saltwatercrocodile_atp6,23
zebrafish_tl2,,
zebrafish_tm,saltwatercrocodile_cytb,21
zebrafish_tn,,
zebrafish_tp,,
zebrafish_tq,,
zebrafish_tr,,
zebrafish_ts1,saltwatercrocodile_nd5,18
zebrafish_ts2,saltwatercrocodile_nd5,21
zebrafish_tt,,
zebrafish_tv,,
zebrafish_tw,saltwatercrocodile_nd1,23
zebrafish_ty,,
