zebrafish_atp6,blacktipreefshark_atp6,527
zebrafish_atp8,blacktipreefshark_atp8,116
zebrafish_co1,blacktipreefshark_cox1,1445
zebrafish_co2,blacktipreefshark_cox2,589
zebrafish_co3,blacktipreefshark_cox3,663
zebrafish_cyb,blacktipreefshark_cytb,682
zebrafish_nd1,blacktipreefshark_nd1,431
zebrafish_nd2,blacktipreefshark_nd2,342
zebrafish_nd3,blacktipreefshark_nd3,176
zebrafish_nd4,blacktipreefshark_nd4,649
zebrafish_nd4l,blacktipreefshark_nd4l,95
zebrafish_nd5,blacktipreefshark_nd5,685
zebrafish_nd6,blacktipreefshark_nd6,179
zebrafish_rnr1,blacktipreefshark_nd5,23
zebrafish_rnr2,blacktipreefshark_cox1,46
zebrafish_ta,blacktipreefshark_nd5,21
zebrafish_tc,,
zebrafish_td,,
zebrafish_te,,
zebrafish_tg,,
zebrafish_th,blacktipreefshark_cox2,23
zebrafish_ti,,
zebrafish_tk,,
zebrafish_tl1,blacktipreefshark_nd1,21
zebrafish_tl2,,
zebrafish_tm,blacktipreefshark_cox3,21
zebrafish_tn,,
zebrafish_tp,blacktipreefshark_nd4,23
zebrafish_tq,,
zebrafish_tr,,
zebrafish_ts1,blacktipreefshark_nd2,23
zebrafish_ts2,blacktipreefshark_nd6,25
zebrafish_tt,,
zebrafish_tv,,
zebrafish_tw,,
zebrafish_ty,blacktipreefshark_nd5,16
